Wall time,Step,Value
1694308823.0054934,199,0.8594735860824585
1694309030.7658617,399,0.43691787123680115
1694309233.1565068,599,0.410458505153656
1694309433.4952216,799,0.40120071172714233
1694309632.4142082,999,0.4031902849674225
1694309837.1272686,1199,0.3987550437450409
1694310040.875805,1399,0.39489519596099854
1694310240.148721,1599,0.39447587728500366
1694310446.2398784,1799,0.393148809671402
1694310654.2332096,1999,0.3908388912677765
1694310854.257832,2199,0.39069080352783203
1694311059.7027404,2399,0.3882792294025421
1694311264.9710367,2599,0.3878007233142853
1694311463.9980567,2799,0.3880647122859955
1694311662.7068403,2999,0.3893556594848633
1694311861.312206,3199,0.39165326952934265
1694312060.1831841,3399,0.3858972191810608
1694312258.5066376,3599,0.3828434646129608
1694312456.9739509,3799,0.38450729846954346
1694312655.3397398,3999,0.38343390822410583
1694312856.4678948,4199,0.38325196504592896
1694313055.4147305,4399,0.3815363645553589
1694313254.186096,4599,0.38037216663360596
1694313452.6238198,4799,0.37881341576576233
1694313656.8029287,4999,0.3792184591293335
1694313867.1290214,5199,0.3791223466396332
1694314068.7086442,5399,0.37938594818115234
1694314267.3373494,5599,0.3783344030380249
1694314465.8055086,5799,0.3797028958797455
1694314664.4926734,5999,0.3788607120513916
1694314862.996879,6199,0.3780016601085663
1694315061.6092825,6399,0.3772154748439789
1694315261.1547694,6599,0.3764330744743347
1694315460.3294373,6799,0.3765261471271515
1694315658.9958038,6999,0.3759934604167938
1694315858.2059693,7199,0.3764299750328064
1694316056.8229382,7399,0.37548747658729553
1694316348.0836997,7699,0.37750065326690674
1694316547.2420423,7899,0.37687423825263977
1694316746.418382,8099,0.3759991526603699
1694316946.4608443,8299,0.3761179447174072
1694317146.5123801,8499,0.3771079480648041
1694317346.0214388,8699,0.37534230947494507
1694317545.7009099,8899,0.37517598271369934
1694317745.3735876,9099,0.37686392664909363
1694317948.458501,9299,0.3751608729362488
1694318147.4635105,9499,0.3742583394050598
1694318346.0037792,9699,0.3746849298477173
1694318544.3907728,9899,0.3751733899116516
1694318743.0694668,10099,0.37486639618873596
1694318942.1702487,10299,0.3740450143814087
1694319141.084556,10499,0.3743184804916382
1694319340.2155442,10699,0.37448742985725403
1694319539.1161351,10899,0.37516993284225464
1694319738.4704442,11099,0.3742850422859192
1694319942.401581,11299,0.37375909090042114
1694320149.3574433,11499,0.37416398525238037
1694320352.2052462,11699,0.3736923933029175
1694320562.4334803,11899,0.3747304379940033
1694320770.8254068,12099,0.3774489760398865
1694320977.182206,12299,0.37449973821640015
1694321185.2931163,12499,0.3742723762989044
1694321395.990517,12699,0.37419214844703674
1694321603.2708023,12899,0.3748891055583954
1694321810.243236,13099,0.37352555990219116
1694322016.5385082,13299,0.3747170865535736
1694322219.4733167,13499,0.3741911053657532
1694322419.081675,13699,0.37328192591667175
1694322621.871845,13899,0.3737872242927551
1694322825.5116503,14099,0.37427714467048645
1694323031.1904433,14299,0.37322989106178284
1694323231.956474,14499,0.3732738494873047
1694323431.957841,14699,0.37273362278938293
1694323631.358211,14899,0.37292271852493286
1694323921.9857206,15199,0.3759261965751648
1694324122.4860258,15399,0.37475302815437317
1694324322.084709,15599,0.37341317534446716
1694324520.9882467,15799,0.3749438524246216
1694324720.0853033,15999,0.37347105145454407
1694324919.170592,16199,0.3738085925579071
1694325118.953607,16399,0.3726341724395752
1694325317.8880987,16599,0.3747575879096985
1694325517.2392404,16799,0.3733134865760803
1694325718.3207428,16999,0.37475407123565674
1694325917.48911,17199,0.373600572347641
1694326116.388844,17399,0.373393177986145
1694326315.7225251,17599,0.37322965264320374
1694326514.4232094,17799,0.37272489070892334
1694326713.8376682,17999,0.3724414110183716
1694326913.4065971,18199,0.37347647547721863
1694327112.42353,18399,0.3729665279388428
1694327311.7978516,18599,0.37309885025024414
1694327510.6730154,18799,0.37183907628059387
1694327709.2101183,18999,0.37190696597099304
1694327908.3415995,19199,0.37222257256507874
1694328107.772754,19399,0.37275493144989014
1694328307.50678,19599,0.37271812558174133
1694328508.857542,19799,0.37251579761505127
1694328710.6947,19999,0.37222063541412354
1694328911.6424718,20199,0.3723942041397095
1694329118.645122,20399,0.3725142478942871
1694329325.310315,20599,0.3721555173397064
1694329531.0358999,20799,0.37234243750572205
1694329735.0621614,20999,0.3728073239326477
1694329941.6995678,21199,0.37244561314582825
1694330148.0062912,21399,0.37195098400115967
1694330349.4361222,21599,0.37223273515701294
1694330554.9866738,21799,0.37166163325309753
1694330760.8321671,21999,0.37157583236694336
1694330967.3704846,22199,0.372018426656723
1694331176.644833,22399,0.37222087383270264
1694331476.0482762,22699,0.37231168150901794
1694331681.112264,22899,0.3718843460083008
1694331884.8069432,23099,0.3718266785144806
1694332087.9340808,23299,0.3721005320549011
1694332293.7681444,23499,0.3717733323574066
1694332500.245734,23699,0.372162789106369
1694332705.723592,23899,0.3721469044685364
1694332907.2412026,24099,0.37212473154067993
1694333109.8757615,24299,0.37200337648391724
1694333314.3447084,24499,0.37142691016197205
1694333521.0927615,24699,0.37307676672935486
1694333724.1793447,24899,0.3720048666000366
1694333930.0694826,25099,0.37167325615882874
1694334132.18436,25299,0.37174543738365173
1694334332.690746,25499,0.3716432750225067
1694334532.5896037,25699,0.3716258704662323
1694334734.0475428,25899,0.37158048152923584
1694334933.702616,26099,0.37193799018859863
1694335133.50206,26299,0.37171879410743713
1694335333.4829047,26499,0.3716040849685669
1694335533.3113546,26699,0.37158718705177307
1694335739.8904169,26899,0.37151649594306946
1694335946.388881,27099,0.37129658460617065
1694336150.0583594,27299,0.3716017007827759
1694336353.244284,27499,0.372030109167099
1694336560.0993977,27699,0.3717830181121826
1694336764.622617,27899,0.3723032772541046
1694336973.0364478,28099,0.3717731535434723
1694337173.3399088,28299,0.3714136481285095
1694337373.1563146,28499,0.37213143706321716
1694337572.4075215,28699,0.37138256430625916
1694337771.9580343,28899,0.37180814146995544
1694337971.3162715,29099,0.37187275290489197
1694338170.838241,29299,0.37191134691238403
1694338370.8737862,29499,0.37164923548698425
1694338571.1301105,29699,0.3711659908294678
1694338770.8991497,29899,0.37118396162986755
1694339063.0274265,30199,0.371747225522995
1694339263.533946,30399,0.3713330328464508
1694339463.6164489,30599,0.37140339612960815
1694339663.3853366,30799,0.3710249364376068
1694339863.5634995,30999,0.3719882667064667
1694340063.7306406,31199,0.3713461756706238
1694340264.56602,31399,0.3712233304977417
1694340464.9625473,31599,0.3723269999027252
1694340665.233132,31799,0.3713797926902771
1694340865.4567423,31999,0.37244880199432373
1694341066.337555,32199,0.37130212783813477
1694341266.6986678,32399,0.3710962235927582
1694341466.9494908,32599,0.3725437521934509
1694341667.4357376,32799,0.37155741453170776
1694341868.014337,32999,0.3717697560787201
1694342068.517965,33199,0.3711965084075928
1694342269.4408417,33399,0.3712611198425293
1694342469.9064894,33599,0.37116116285324097
1694342669.967801,33799,0.3713284432888031
1694342870.591206,33999,0.3712998926639557
1694343070.6842208,34199,0.37127840518951416
1694343271.5104172,34399,0.3710171580314636
1694343472.007027,34599,0.3709796369075775
1694343672.9968128,34799,0.37147900462150574
1694343874.1687136,34999,0.37161287665367126
1694344075.0965302,35199,0.3708191215991974
1694344276.1231322,35399,0.3710138499736786
1694344477.0111647,35599,0.37131306529045105
1694344677.7429316,35799,0.37160903215408325
1694344878.769679,35999,0.3710682690143585
1694345080.1596582,36199,0.3711095154285431
1694345280.9373806,36399,0.3708680272102356
1694345482.2794926,36599,0.371194988489151
1694345683.5697165,36799,0.3709513247013092
1694345884.67739,36999,0.3712155222892761
1694346086.2831628,37199,0.37128061056137085
1694346287.576851,37399,0.3711022436618805
1694346580.4219356,37699,0.37111055850982666
1694346781.2714655,37899,0.3710496723651886
1694346981.8554761,38099,0.37139520049095154
1694347183.2124293,38299,0.37073707580566406
1694347384.8647413,38499,0.37174171209335327
1694347585.7805943,38699,0.37073493003845215
1694347786.3537338,38899,0.37175452709198
1694347987.3799639,39099,0.3711071312427521
1694348188.2644668,39299,0.37114787101745605
1694348388.9289427,39499,0.3708280622959137
1694348590.2234979,39699,0.3712834119796753
1694348791.3566756,39899,0.3708540201187134
1694348991.9281845,40099,0.37170735001564026
1694349193.360224,40299,0.37070754170417786
1694349394.1982534,40499,0.3703847825527191
1694349594.9106116,40699,0.37077856063842773
1694349795.8716042,40899,0.3707079589366913
1694349996.7566166,41099,0.37106743454933167
1694350197.4841883,41299,0.370702862739563
1694350398.6024065,41499,0.37121137976646423
1694350600.013444,41699,0.37126415967941284
1694350801.0614135,41899,0.3705346882343292
1694351002.2759116,42099,0.37074828147888184
1694351203.3777814,42299,0.3706813156604767
1694351404.4815438,42499,0.3706953227519989
1694351605.6950378,42699,0.37097468972206116
1694351806.531641,42899,0.3707098364830017
1694352007.9016564,43099,0.3709275424480438
1694352208.9894016,43299,0.3711191415786743
1694352410.1082337,43499,0.3703232407569885
1694352610.9615557,43699,0.3705298602581024
1694352811.8762562,43899,0.3709827661514282
1694353012.6670022,44099,0.37053024768829346
1694353214.0515609,44299,0.3707180619239807
1694353415.4683056,44499,0.37053394317626953
1694353616.5257201,44699,0.37042236328125
1694353817.6012273,44899,0.37031611800193787
1694354111.4658854,45199,0.3702864944934845
1694354312.8323739,45399,0.3706452548503876
1694354513.8762813,45599,0.37069326639175415
1694354714.367006,45799,0.37051644921302795
1694354915.2659194,45999,0.3701559603214264
1694355116.2763987,46199,0.37059104442596436
1694355316.9242465,46399,0.37056756019592285
1694355517.7933567,46599,0.3708382844924927
1694355718.4721537,46799,0.3704390525817871
1694355919.4971485,46999,0.37108245491981506
1694356120.6339316,47199,0.3705591559410095
1694356321.78243,47399,0.37046295404434204
1694356522.8266656,47599,0.3708738088607788
1694356723.64184,47799,0.370836079120636
1694356925.1072776,47999,0.37094777822494507
1694357126.3822267,48199,0.37065598368644714
1694357327.3123922,48399,0.3705578148365021
1694357528.409325,48599,0.3703881502151489
1694357729.2996993,48799,0.37074369192123413
1694357930.401683,48999,0.3709701895713806
1694358131.662044,49199,0.3706207871437073
1694358333.0796497,49399,0.3709419369697571
