Jitter Level,Blur Level,Loss
0.0,0.0,4.258296489715576
0.0,0.0,5.146369934082031
0.0,0.0,4.406749248504639
0.0,0.0,4.283469200134277
0.0,0.0,4.0876359939575195
0.0,0.0,4.58363676071167
0.0,0.0,4.15881872177124
0.0,0.0,4.485934734344482
0.0,0.0,4.9038920402526855
0.0,0.0,3.953933000564575
0.0,0.0,4.307064056396484
0.0,0.0,4.579298496246338
0.0,0.0,4.381453514099121
0.0,0.0,4.867103576660156
0.0,0.0,5.305427074432373
0.0,0.0,5.553062438964844
0.0,0.0,4.170775413513184
0.0,0.0,4.494109153747559
0.0,0.0,5.583669662475586
0.0,0.0,5.038005352020264
0.0,0.0,5.089324474334717
0.0,0.0,4.150584697723389
0.0,0.0,5.081887722015381
0.0,0.0,4.402675151824951
0.0,0.0,4.3370747566223145
0.0,0.0,4.322793483734131
0.0,0.0,4.376548767089844
0.0,0.0,4.414731025695801
0.0,0.0,4.4456024169921875
0.0,0.0,4.741396427154541
0.0,0.0,3.6988155841827393
0.0,0.0,7.495443820953369
0.0,0.0,3.9692420959472656
0.0,0.0,4.593479633331299
0.0,0.0,4.8733744621276855
0.0,0.0,4.148240566253662
0.0,0.0,5.79757022857666
0.0,0.0,5.336634635925293
0.0,0.0,5.085643768310547
0.0,0.0,4.2016215324401855
0.0,0.0,4.322712421417236
0.0,0.0,4.893707752227783
0.0,0.0,4.407220840454102
0.0,0.0,4.443488597869873
0.0,0.0,4.42989444732666
0.0,0.0,4.452392578125
0.0,0.0,4.338115215301514
0.0,0.0,5.42213773727417
0.0,0.0,4.562737941741943
0.0,0.0,4.088393688201904
0.0,0.0,4.665272235870361
0.0,0.0,4.371652603149414
0.0,0.0,7.299102783203125
0.0,0.0,4.1414361000061035
0.0,0.0,4.001964092254639
0.0,0.0,5.732493877410889
0.0,0.0,4.208749294281006
0.0,0.0,4.682736873626709
0.0,0.0,4.165717601776123
0.0,0.0,4.459359645843506
0.0,0.0,4.957563877105713
